productKey,productName,category,subCategory,productCost,lastSaleDate,recencyInMonths,productSegment,lifespan,totalOrders,totalSales,totalQuantity,totalCustomers,avgSellingPrice,avgOrderRevenue,avgMonthlyRevenue
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,461,2013-12-23,8,Mid-Range,10,64,47488,64,64,742.0,742,4749
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,2013-12-28,8,Mid-Range,10,59,43778,59,59,742.0,742,4378
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,2013-12-27,8,Mid-Range,11,59,43778,59,59,742.0,742,3980
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,2013-12-09,9,Mid-Range,10,48,35616,48,48,742.0,742,3562
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,2013-12-27,8,Mid-Range,11,47,34874,47,47,742.0,742,3170
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,2013-12-26,8,Mid-Range,11,50,37100,50,50,742.0,742,3373
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,755,2013-12-27,8,High-Performer,11,97,117855,97,97,1215.0,1215,10714
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,755,2013-12-27,8,High-Performer,11,106,128790,106,106,1215.0,1215,11708
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,755,2013-12-28,8,High-Performer,11,88,106920,88,88,1215.0,1215,9720
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,755,2013-12-28,8,High-Performer,11,81,98415,81,81,1215.0,1215,8947
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,2013-12-23,8,High-Performer,11,177,421968,177,177,2384.0,2384,38361
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,2013-12-28,8,High-Performer,11,150,357600,150,150,2384.0,2384,32509
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,2013-12-27,8,High-Performer,11,160,381440,160,160,2384.0,2384,34676
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,2013-12-27,8,High-Performer,11,147,350448,147,147,2384.0,2384,31859
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,2013-12-28,8,High-Performer,11,172,410048,172,170,2384.0,2384,37277
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,2013-12-23,8,High-Performer,11,151,359984,151,150,2384.0,2384,32726
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,2013-12-27,8,High-Performer,11,158,376672,158,158,2384.0,2384,34243
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,2013-12-23,8,High-Performer,11,140,333760,140,140,2384.0,2384,30342
166,AWC Logo Cap,Clothing,Caps,7,2014-01-28,7,Mid-Range,0,2190,19710,2190,2132,9.0,9,19710
168,Bike Wash - Dissolver,Accessories,Cleaners,3,2014-01-28,7,Low-Performer,0,908,7272,909,875,8.0,8,7272
174,Fender Set - Mountain,Accessories,Fenders,8,2014-01-28,7,Mid-Range,0,2121,46662,2121,2110,22.0,22,46662
233,Half-Finger Gloves- L,Clothing,Gloves,9,2014-01-28,7,Mid-Range,0,443,10632,443,437,24.0,24,10632
234,Half-Finger Gloves- M,Clothing,Gloves,9,2014-01-28,7,Mid-Range,0,499,11976,499,488,24.0,24,11976
235,Half-Finger Gloves- S,Clothing,Gloves,9,2014-01-25,7,Mid-Range,0,487,11688,487,478,24.0,24,11688
244,Sport-100 Helmet- Black,Accessories,Helmets,13,2014-01-28,7,High-Performer,1,2085,72975,2085,2024,35.0,35,72975
245,Sport-100 Helmet- Blue,Accessories,Helmets,13,2014-01-28,7,High-Performer,1,2124,74375,2125,2049,35.0,35,74375
246,Sport-100 Helmet- Red,Accessories,Helmets,13,2014-01-28,7,High-Performer,1,2230,78050,2230,2147,35.0,35,78050
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,2014-01-28,7,Mid-Range,0,733,40315,733,719,55.0,55,40315
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,2014-01-28,7,Mid-Range,1,452,22650,453,449,50.0,50,22650
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,2014-01-28,7,Mid-Range,1,442,22100,442,436,50.0,50,22100
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,2014-01-28,7,Mid-Range,0,429,21450,429,426,50.0,50,21450
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,2014-01-28,7,Mid-Range,0,413,20700,414,409,50.0,50,20700
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,2014-01-28,7,Low-Performer,0,3189,6378,3189,2948,2.0,2,6378
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,2014-01-28,7,Mid-Range,0,327,39240,327,324,120.0,120,39240
272,Women's Mountain Shorts- L,Clothing,Shorts,26,2014-01-28,7,Mid-Range,0,363,25410,363,363,70.0,70,25410
273,Women's Mountain Shorts- M,Clothing,Shorts,26,2014-01-26,7,Mid-Range,0,352,24640,352,352,70.0,70,24640
274,Women's Mountain Shorts- S,Clothing,Shorts,26,2014-01-28,7,Mid-Range,0,304,21280,304,304,70.0,70,21280
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,2014-01-26,7,Mid-Range,0,374,20196,374,372,54.0,54,20196
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,2014-01-27,7,Mid-Range,0,407,21978,407,404,54.0,54,21978
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,2014-01-28,7,Mid-Range,0,406,21924,406,402,54.0,54,21924
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,2014-01-28,7,Mid-Range,0,409,22086,409,405,54.0,54,22086
279,Racing Socks- L,Clothing,Socks,3,2014-01-27,7,Low-Performer,0,270,2430,270,269,9.0,9,2430
280,Racing Socks- M,Clothing,Socks,3,2014-01-28,7,Low-Performer,0,298,2682,298,295,9.0,9,2682
281,All-Purpose Bike Stand,Accessories,Bike Stands,59,2014-01-28,7,Mid-Range,1,249,39591,249,243,159.0,159,39591
282,LL Mountain Tire,Accessories,Tires and Tubes,9,2014-01-28,7,Mid-Range,0,860,21550,862,828,25.0,25,21550
283,ML Mountain Tire,Accessories,Tires and Tubes,11,2014-01-28,7,Mid-Range,0,1160,34800,1160,1160,30.0,30,34800
284,HL Mountain Tire,Accessories,Tires and Tubes,13,2014-01-28,7,Mid-Range,1,1395,48860,1396,1395,35.0,35,48860
285,LL Road Tire,Accessories,Tires and Tubes,8,2014-01-28,7,Mid-Range,1,1043,21903,1043,1029,21.0,21,21903
286,ML Road Tire,Accessories,Tires and Tubes,9,2014-01-28,7,Mid-Range,0,925,23125,925,890,25.0,25,23125
287,HL Road Tire,Accessories,Tires and Tubes,12,2014-01-28,7,Mid-Range,1,858,28314,858,820,33.0,33,28314
288,Touring Tire,Accessories,Tires and Tubes,11,2014-01-25,7,Mid-Range,0,935,27115,935,920,29.0,29,27115
289,Mountain Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,7,Mid-Range,1,3092,15465,3093,2958,5.0,5,15465
290,Road Tire Tube,Accessories,Tires and Tubes,1,2014-01-28,7,Low-Performer,1,2375,9500,2375,2225,4.0,4,9500
291,Touring Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,7,Low-Performer,1,1487,7435,1487,1410,5.0,5,7435
292,Classic Vest- L,Clothing,Vests,24,2014-01-28,7,Mid-Range,0,195,12480,195,195,64.0,64,12480
293,Classic Vest- M,Clothing,Vests,24,2014-01-27,7,Mid-Range,0,199,12736,199,199,64.0,64,12736
294,Classic Vest- S,Clothing,Vests,24,2014-01-28,7,Mid-Range,0,168,10944,171,168,64.0,65,10944
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,2014-01-28,7,Mid-Range,1,4244,21245,4249,4073,5.0,5,21245
